IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.33,78.1,11.9,Aktif,Rendah,P,Tidak,Tidak
3.83,85.2,11.2,Aktif,Menengah,L,Tidak,Tidak
3.36,95.0,17.9,Aktif,Rendah,P,Tidak,Tidak
2.71,99.3,14.6,Aktif,Menengah,P,Tidak,Tidak
2.83,84.5,3.2,Tidak Aktif,Menengah,P,Tidak,Tidak
3.07,100.0,12.3,Tidak Aktif,Menengah,P,Tidak,Tidak
2.73,86.4,4.7,Tidak Aktif,Menengah,P,Tidak,Tidak
2.89,92.4,7.1,Aktif,Rendah,L,Ya,Tidak
3.68,90.3,12.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.55,78.3,7.5,Aktif,Menengah,L,Tidak,Tidak
2.92,73.0,7.3,Tidak Aktif,Menengah,P,Tidak,Tidak
2.2,88.1,10.9,Aktif,Menengah,L,Tidak,Tidak
3.27,100.0,7.9,Aktif,Menengah,P,Tidak,Tidak
3.45,78.5,8.8,Tidak Aktif,Menengah,P,Tidak,Tidak
2.76,97.6,7.2,Aktif,Menengah,P,Tidak,Tidak
2.62,90.5,8.2,Aktif,Menengah,L,Tidak,Tidak
3.44,68.8,14.9,,Menengah,L,Tidak,Tidak
3.76,82.3,7.4,Aktif,Menengah,P,Tidak,Tidak
2.78,100.0,2.0,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.31,79.5,7.8,Aktif,Rendah,P,Tidak,Tidak
3.18,77.5,5.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.1,100.0,14.6,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.29,97.6,9.0,Tidak Aktif,Menengah,P,Ya,Tidak
3.38,78.4,20.4,Tidak Aktif,Menengah,L,Tidak,Tidak
2.92,100.0,8.4,Tidak Aktif,Menengah,P,Tidak,Tidak
2.95,86.8,9.8,Tidak Aktif,Rendah,L,Ya,Tidak
2.8,80.3,9.9,Aktif,Rendah,P,Ya,Tidak
2.86,80.7,8.6,Tidak Aktif,Rendah,P,Ya,Tidak
2.97,74.3,10.7,Tidak Aktif,Menengah,L,Tidak,Tidak
3.38,93.4,11.0,Tidak Aktif,Menengah,P,Ya,Tidak
3.22,100.0,6.2,Tidak Aktif,Menengah,P,Tidak,Tidak
,88.1,11.9,Tidak Aktif,Menengah,P,Tidak,Tidak
2.81,98.3,4.8,Tidak Aktif,Tinggi,P,Ya,Tidak
2.99,100.0,12.7,Tidak Aktif,Rendah,P,Tidak,Tidak
3.04,95.5,13.9,Tidak Aktif,Rendah,L,Tidak,Tidak
2.38,73.4,12.2,Aktif,Menengah,L,Tidak,Tidak
2.31,77.8,10.4,Aktif,Tinggi,P,Tidak,Tidak
3.08,87.3,11.5,Aktif,Menengah,L,Ya,Tidak
2.96,89.1,7.4,Aktif,Rendah,P,Ya,Tidak
2.66,92.3,7.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.4,77.2,9.4,Aktif,Rendah,L,Ya,Tidak
2.62,83.8,3.0,Aktif,Menengah,L,Tidak,Tidak
3.34,89.5,6.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.14,88.4,9.8,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.46,79.3,11.6,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.81,82.4,8.6,Tidak Aktif,Menengah,P,Tidak,Tidak
3.62,77.2,12.8,Tidak Aktif,Rendah,L,Ya,Tidak
2.77,99.0,9.6,Tidak Aktif,Menengah,P,Ya,Tidak
,90.9,3.9,Aktif,Tinggi,L,Tidak,Tidak
2.94,98.8,9.3,Tidak Aktif,Menengah,P,Tidak,Tidak
3.0,69.6,8.2,Tidak Aktif,Rendah,P,Ya,Tidak
2.25,74.1,1.7,Tidak Aktif,Rendah,P,Ya,Tidak
3.06,67.2,4.1,Tidak Aktif,Menengah,L,Tidak,Tidak
2.83,95.0,6.9,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.84,80.7,20.3,Aktif,Rendah,P,Ya,Tidak
3.05,96.7,8.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.4,81.9,16.9,Aktif,Menengah,P,Tidak,Tidak
3.31,80.0,6.0,Tidak Aktif,Rendah,P,Tidak,Tidak
3.08,82.0,7.2,Aktif,Menengah,P,Tidak,Tidak
2.66,72.9,6.0,Tidak Aktif,Menengah,P,Tidak,Tidak
3.59,,12.6,Tidak Aktif,Rendah,P,Tidak,Ya
3.0,94.4,11.9,Aktif,Menengah,L,Tidak,Tidak
3.0,97.8,8.2,Tidak Aktif,Rendah,L,Ya,Tidak
3.41,85.3,7.4,Tidak Aktif,Menengah,P,Tidak,Tidak
3.48,89.1,9.7,Tidak Aktif,Rendah,L,Ya,Tidak
3.22,100.0,6.4,Aktif,Rendah,P,Tidak,Tidak
3.19,86.0,7.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.01,89.1,12.0,Tidak Aktif,Menengah,P,Tidak,Tidak
3.17,68.1,7.0,Aktif,Tinggi,P,Tidak,Tidak
3.33,72.2,8.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.41,,1.6,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.61,100.0,14.9,Tidak Aktif,Rendah,P,Tidak,Tidak
3.02,80.5,8.2,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.73,98.1,10.8,Aktif,Menengah,L,Tidak,Tidak
3.19,89.7,12.3,Tidak Aktif,Menengah,L,Tidak,Tidak
3.19,89.5,16.1,Aktif,Menengah,P,Tidak,Tidak
2.85,87.0,11.9,Aktif,Rendah,L,Ya,Tidak
3.32,90.7,17.5,Aktif,Menengah,L,Ya,Tidak
3.94,,6.7,Tidak Aktif,Menengah,P,Ya,Tidak
2.96,91.5,6.4,Tidak Aktif,Menengah,P,Tidak,Tidak
3.39,87.4,13.6,Aktif,Menengah,P,Tidak,Tidak
2.55,90.4,,Aktif,Tinggi,P,Tidak,Tidak
2.64,78.1,0.0,Tidak Aktif,Rendah,P,Ya,Tidak
3.13,76.3,19.1,Aktif,Rendah,L,Tidak,Tidak
3.01,83.8,3.9,Tidak Aktif,Rendah,P,Ya,Tidak
3.41,98.9,6.1,Aktif,Menengah,L,Tidak,Tidak
3.11,100.0,10.9,Tidak Aktif,Rendah,L,Ya,Tidak
3.41,69.7,14.8,Aktif,Menengah,L,Tidak,Tidak
3.59,100.0,21.2,Aktif,Menengah,L,Ya,Tidak
2.84,89.6,12.8,Aktif,Rendah,P,Tidak,Tidak
2.75,87.2,9.2,Tidak Aktif,Menengah,L,Tidak,Tidak
3.28,100.0,15.0,Tidak Aktif,Menengah,P,Ya,Tidak
3.17,93.4,6.7,Tidak Aktif,Menengah,P,Tidak,Tidak
2.4,64.7,6.7,Aktif,Rendah,L,Tidak,Tidak
3.2,98.5,1.6,Tidak Aktif,Menengah,L,Tidak,Tidak
2.7,92.6,7.9,Aktif,Menengah,L,Tidak,Tidak
2.95,89.5,10.1,Aktif,Tinggi,L,Ya,Tidak
3.66,68.4,7.5,Aktif,Menengah,L,Ya,Tidak
3.19,74.8,11.1,Aktif,Menengah,L,Ya,Tidak
2.82,91.8,13.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.04,68.9,15.4,Tidak Aktif,Menengah,L,Tidak,Tidak
2.92,84.5,7.3,Aktif,Rendah,P,Tidak,Tidak
3.31,76.9,17.5,Tidak Aktif,Rendah,P,Tidak,Tidak
2.67,90.7,11.8,Tidak Aktif,Rendah,L,Tidak,Tidak
2.47,,8.2,Aktif,Rendah,L,Tidak,Tidak
3.67,65.0,15.1,Tidak Aktif,Menengah,P,Tidak,Tidak
2.69,93.5,9.4,Tidak Aktif,Menengah,P,Tidak,Tidak
3.7,100.0,15.1,Tidak Aktif,Menengah,L,Tidak,Ya
3.84,75.7,16.5,Tidak Aktif,Tinggi,L,Ya,Tidak
3.66,93.5,17.3,Aktif,Rendah,P,Tidak,Tidak
2.75,77.3,2.0,Aktif,Tinggi,L,Tidak,Tidak
3.08,79.0,10.6,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.91,95.4,16.8,Aktif,Menengah,L,Tidak,Tidak
